"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"hsa-mir-3653",29.8318856208452,0.373522557000692,0.124855276631049,0.00251860387129447,0.00343259943063531
"hsa-mir-365a",422.859356276825,-1.55127429793666,0.118667974765967,1.87275650830229e-39,1.61882342243079e-38
"hsa-mir-365b",421.845709799382,-1.55822055334344,0.118378400445334,5.63128682977107e-40,5.12849336282723e-39
"hsa-mir-3664",3.02456760618403,3.33135100509636,0.306901281126756,2.64644629265225e-30,1.51650293174455e-29
"hsa-mir-3677",31.0815369051997,2.217472802806,0.155336887474768,5.25166667956294e-47,7.65242859022028e-46
"hsa-mir-3678",1.66102874431846,0.760604131566578,0.235155037093961,0.000662815163566819,0.000941603714259269
"hsa-mir-3682",3.11853129068038,1.23915402060743,0.187474199515522,1.3738276684496e-11,3.46857480648167e-11
"hsa-mir-369",34.7871591885593,-0.379489415915202,0.137943062166991,0.00557723102984225,0.00733089645675141
"hsa-mir-3690-1",1.57779460092857,1.36709025246518,0.239508082245474,3.41560680120802e-09,7.28853334148992e-09
"hsa-mir-370",41.0626765266148,-0.640381284158285,0.151618175827744,1.9875285895737e-05,3.19760120089145e-05
"hsa-mir-372",1.11892980659355,0.580203514502408,0.251124016487935,0.723179506366218,0.737643096493542
"hsa-mir-374a",2078.60130713301,0.207460656782791,0.0814373311783056,0.0106325063560148,0.013590421658064
"hsa-mir-374b",178.704223410272,-0.355261348703062,0.0682352904957667,1.80213917722186e-07,3.48140522872404e-07
"hsa-mir-374c",2.55485351769037,-0.104459320969746,0.352606370210138,0.750452209893155,0.762411607660377
"hsa-mir-375",31414.6390773389,1.86376752326426,0.226100468598755,6.8535995722043e-16,2.14437778026024e-15
"hsa-mir-376a-1",4.28835744959378,-0.0202930240667954,0.148759345701076,9.58845567434241e-07,1.74646871211237e-06
"hsa-mir-376a-2",1.82026632015658,0.266542675744987,0.179256080821402,2.34550126793522e-06,4.09659468029782e-06
"hsa-mir-376b",5.02470884070246,-0.199368463146685,0.158921550660521,0.000110557356646499,0.000168815125418307
"hsa-mir-376c",20.668103593877,-0.753902471928632,0.155697255934173,1.03727211748701e-06,1.88127153861247e-06
"hsa-mir-377",12.7467843539209,-1.16749583148267,0.138497448796957,2.42305057616854e-17,8.23837195897302e-17
"hsa-mir-378a",1619.50619205732,-1.96542421686709,0.114547726065951,4.37553315911846e-37,3.28164986933885e-36
"hsa-mir-378c",25.13368952713,-1.68873989364513,0.120589804503047,5.19073810306286e-45,6.45677178673672e-44
"hsa-mir-379",2991.80200265003,-1.09512489547768,0.136521495186976,5.62643078837922e-16,1.77128376671198e-15
"hsa-mir-380",2.2125899697291,0.238643342235908,0.202710841033166,0.561618905072376,0.580985074212803
"hsa-mir-381",119.625966792662,-1.19881545870664,0.131625296647586,4.73432627061258e-20,1.81541834437024e-19
